model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,C,class_weight,gamma,kernel,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
svm,word,True,1.0,10,"(1, 1)",new,original,0.1,,scale,poly,0.6429655063617118,0.0,0.8043315907393578,0.42977190876350535,0.7020681945220794,0.49764229687476497,0.08888888888888889,0.6685082872928177,0.3891992551210428,0.5629496402877698
svm,word,True,1.0,10,"(1, 2)",new,original,0.1,,scale,poly,0.6429655063617118,0.0,0.8043315907393578,0.42977190876350535,0.7020681945220794,0.49764229687476497,0.08888888888888889,0.6685082872928177,0.3891992551210428,0.5629496402877698
svm,word,True,1.0,10,"(1, 3)",new,original,0.1,,scale,poly,0.6429655063617118,0.0,0.8043315907393578,0.42977190876350535,0.7020681945220794,0.49764229687476497,0.08888888888888889,0.6685082872928177,0.3891992551210428,0.5629496402877698
svm,word,True,0.25,1,"(1, 2)",new,lemma,5.0,balanced,scale,poly,0.6427393244295737,0.18823529411764706,0.7890327494287892,0.4359861591695502,0.68921185019564,0.5349634603807317,0.14754098360655737,0.6753623188405797,0.45104895104895104,0.579136690647482
svm,word,True,0.5,1,"(1, 2)",new,lemma,5.0,balanced,scale,poly,0.6427393244295737,0.18823529411764706,0.7890327494287892,0.4359861591695502,0.68921185019564,0.5349634603807317,0.14754098360655737,0.6753623188405797,0.45104895104895104,0.579136690647482
svm,word,True,1.0,1,"(1, 2)",new,lemma,5.0,balanced,scale,poly,0.6427393244295737,0.18823529411764706,0.7890327494287892,0.4359861591695502,0.68921185019564,0.5349634603807317,0.14754098360655737,0.6753623188405797,0.45104895104895104,0.579136690647482
svm,word,True,0.25,20,"(1, 1)",new,stem,1.5,balanced,auto,rbf,0.6421266611077316,0.30337078651685395,0.7961315280464216,0.40981595092024536,0.6836221352711012,0.517181879457082,0.20276497695852533,0.6774668630338733,0.40850277264325324,0.5593525179856115
svm,word,True,0.25,20,"(1, 2)",new,stem,1.5,balanced,auto,rbf,0.6421266611077316,0.30337078651685395,0.7961315280464216,0.40981595092024536,0.6836221352711012,0.517181879457082,0.20276497695852533,0.6774668630338733,0.40850277264325324,0.5593525179856115
svm,word,True,0.25,20,"(1, 3)",new,stem,1.5,balanced,auto,rbf,0.6421266611077316,0.30337078651685395,0.7961315280464216,0.40981595092024536,0.6836221352711012,0.517181879457082,0.20276497695852533,0.6774668630338733,0.40850277264325324,0.5593525179856115
svm,word,True,0.5,20,"(1, 1)",new,stem,1.5,balanced,auto,rbf,0.6421266611077316,0.30337078651685395,0.7961315280464216,0.40981595092024536,0.6836221352711012,0.517181879457082,0.20276497695852533,0.6774668630338733,0.40850277264325324,0.5593525179856115
svm,word,True,0.5,20,"(1, 2)",new,stem,1.5,balanced,auto,rbf,0.6421266611077316,0.30337078651685395,0.7961315280464216,0.40981595092024536,0.6836221352711012,0.517181879457082,0.20276497695852533,0.6774668630338733,0.40850277264325324,0.5593525179856115
