model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,alpha,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
nb,word,True,0.25,10,"(1, 3)",new,stem,0.001,0.7539386653355233,0.15555555555555556,0.8435980551053485,0.6607843137254902,0.7741755170486305,0.5987537908401218,0.10101010101010101,0.7072927072927072,0.5538461538461539,0.632494004796163
nb,word,True,0.25,10,"(1, 3)",new,stem,0.01,0.7539386653355233,0.15555555555555556,0.8435980551053485,0.6607843137254902,0.7741755170486305,0.5987537908401218,0.10101010101010101,0.7072927072927072,0.5538461538461539,0.632494004796163
nb,word,True,0.5,10,"(1, 2)",new,stem,0.0,0.7539386653355233,0.15555555555555556,0.8435980551053485,0.6607843137254902,0.7741755170486305,0.5987537908401218,0.10101010101010101,0.7072927072927072,0.5538461538461539,0.632494004796163
nb,word,True,0.5,10,"(1, 2)",new,stem,0.001,0.7539386653355233,0.15555555555555556,0.8435980551053485,0.6607843137254902,0.7741755170486305,0.5987537908401218,0.10101010101010101,0.7072927072927072,0.5538461538461539,0.632494004796163
nb,word,True,0.5,10,"(1, 2)",new,stem,0.01,0.7539386653355233,0.15555555555555556,0.8435980551053485,0.6607843137254902,0.7741755170486305,0.5987537908401218,0.10101010101010101,0.7072927072927072,0.5538461538461539,0.632494004796163
nb,word,True,0.5,10,"(1, 3)",new,stem,0.0,0.7539386653355233,0.15555555555555556,0.8435980551053485,0.6607843137254902,0.7741755170486305,0.5987537908401218,0.10101010101010101,0.7072927072927072,0.5538461538461539,0.632494004796163
nb,word,True,0.5,10,"(1, 3)",new,stem,0.001,0.7539386653355233,0.15555555555555556,0.8435980551053485,0.6607843137254902,0.7741755170486305,0.5987537908401218,0.10101010101010101,0.7072927072927072,0.5538461538461539,0.632494004796163
nb,word,True,0.5,10,"(1, 3)",new,stem,0.01,0.7539386653355233,0.15555555555555556,0.8435980551053485,0.6607843137254902,0.7741755170486305,0.5987537908401218,0.10101010101010101,0.7072927072927072,0.5538461538461539,0.632494004796163
nb,word,True,1.0,10,"(1, 2)",new,stem,0.0,0.7539386653355233,0.15555555555555556,0.8435980551053485,0.6607843137254902,0.7741755170486305,0.5987537908401218,0.10101010101010101,0.7072927072927072,0.5538461538461539,0.632494004796163
nb,word,True,1.0,10,"(1, 2)",new,stem,0.001,0.7539386653355233,0.15555555555555556,0.8435980551053485,0.6607843137254902,0.7741755170486305,0.5987537908401218,0.10101010101010101,0.7072927072927072,0.5538461538461539,0.632494004796163
