model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,class_weight,criterion,max_features,min_samples_leaf,min_samples_split,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
rf,word,True,0.5,1,"(1, 1)",unique,stem,balanced_subsample,gini,auto,1,10,0.7302160508918222,0.5989304812834224,0.6907993966817496,0.7873417721518987,0.7268292682926829,0.7016724279663741,0.5217391304347826,0.6394052044609666,0.7729468599033816,0.6967741935483871
rf,word,True,0.5,1,"(1, 1)",unique,stem,balanced_subsample,gini,sqrt,1,10,0.7301836965378886,0.5957446808510638,0.6879756468797564,0.7899371069182389,0.7268292682926829,0.7023098599521029,0.5113636363636364,0.6385321100917432,0.7768395657418578,0.6980645161290323
rf,word,True,0.25,1,"(1, 1)",generic,stem,,gini,auto,1,2,0.7300193570467802,0.5766871165644173,0.6971080669710806,0.7878048780487805,0.7304878048780488,0.6750543604237804,0.44,0.6227758007117438,0.7541766109785204,0.6761290322580645
rf,word,True,0.25,1,"(1, 1)",generic,stem,balanced,gini,sqrt,1,10,0.7297851530844026,0.5803108808290155,0.6875000000000001,0.7930607187112764,0.7268292682926829,0.6947585518339793,0.5084745762711865,0.6311926605504588,0.7681159420289856,0.6903225806451613
rf,word,True,1.0,1,"(1, 1)",unique,stem,,gini,sqrt,1,2,0.7297788927167187,0.5988023952095808,0.6940639269406391,0.7843137254901962,0.7292682926829268,0.6930462444493403,0.4936708860759493,0.6385321100917432,0.7650531286894923,0.6929032258064516
rf,word,True,0.25,1,"(1, 1)",generic,stem,balanced,gini,sqrt,1,5,0.7295643603741753,0.5913978494623656,0.6920731707317073,0.7869674185463659,0.7268292682926829,0.7051054359258557,0.5245901639344263,0.6494464944649446,0.7733333333333332,0.7006451612903226
rf,word,True,0.5,1,"(1, 1)",unique,stem,balanced_subsample,gini,auto,1,2,0.7294297204779299,0.591715976331361,0.6906906906906908,0.7875776397515528,0.7280487804878049,0.7054209802544179,0.5357142857142857,0.644927536231884,0.7734939759036146,0.7019354838709677
rf,word,True,1.0,1,"(1, 1)",unique,stem,balanced_subsample,entropy,sqrt,1,5,0.7294287179115762,0.5913978494623656,0.6969696969696969,0.783375314861461,0.7268292682926829,0.6908059250396488,0.5057471264367815,0.6357142857142858,0.7598039215686275,0.6864516129032258
rf,word,True,0.5,1,"(1, 1)",generic,stem,balanced_subsample,gini,sqrt,1,5,0.7294159607540237,0.5966850828729281,0.6898638426626323,0.7869674185463659,0.7268292682926829,0.7041105093791696,0.5333333333333333,0.645985401459854,0.7712895377128954,0.6993548387096774
rf,word,True,0.5,1,"(1, 1)",generic,stem,balanced,gini,sqrt,1,5,0.7292836803151824,0.5901639344262296,0.693939393939394,0.7854454203262233,0.7268292682926829,0.7029361168175006,0.5257142857142857,0.6458715596330274,0.7710843373493977,0.6993548387096774
rf,word,True,0.5,1,"(1, 1)",generic,stem,balanced_subsample,entropy,auto,1,2,0.7292710833286822,0.6,0.6947368421052632,0.782608695652174,0.7280487804878049,0.6937839091962684,0.48484848484848486,0.637837837837838,0.7686746987951808,0.6916129032258065
rf,word,True,0.25,1,"(1, 1)",generic,stem,balanced,entropy,auto,1,10,0.729092829984527,0.6170212765957447,0.6858877086494689,0.7843631778058008,0.725609756097561,0.6983393792442216,0.519774011299435,0.6385321100917432,0.7681159420289856,0.6941935483870968
